people_id,person_hash,party_id,state_id,party,role_id,role,name,first_name,middle_name,last_name,suffix,nickname,district,ftm_eid,votesmart_id,opensecrets_id,knowwho_pid,ballotpedia,bioguide_id,committee_sponsor,committee_id,state_federal
8955,zy55u68d,1,52,D,1,Rep,Nydia Velazquez,Nydia,M.,Velazquez,,,HD-NY-7,17658223,26975,N00001102,158981,Nydia_Velazquez,V000081,0,0,0
8957,0lt6ddgr,1,52,D,1,Rep,Frank Pallone,Frank,,Pallone,Jr.,,HD-NJ-6,17658803,26951,N00000781,158957,Frank_Pallone,P000034,0,0,0
8963,lghvcrvx,1,52,D,1,Rep,Kathy Castor,Kathy,,Castor,,,HD-FL-14,170335,53825,N00027514,248289,Kathy_Castor,C001066,0,0,0
8964,2drw2yg6,1,52,D,1,Rep,Gerald Connolly,Gerald,E.,Connolly,,Gerry,HD-VA-11,16577898,95078,N00029891,267105,Gerald_Connolly,C001078,0,0,0
8965,ykjgp489,1,52,D,1,Rep,Henry Cuellar,Henry,,Cuellar,,,HD-TX-28,6443275,5486,N00024978,199164,Henry_Cuellar,C001063,0,0,0
8967,klyveg3n,1,52,D,1,Rep,Diana DeGette,Diana,,DeGette,,,HD-CO-1,6006202,561,N00006134,158770,Diana_DeGette,D000197,0,0,0
8972,iojagoko,1,52,D,1,Rep,Bill Foster,Bill,,Foster,,,HD-IL-11,16623751,101632,N00029139,263138,Bill_Foster,F000454,0,0,0
8976,rffp6oz3,1,52,D,1,Rep,Henry Johnson,Henry,C.,Johnson,Jr.,Hank,HD-GA-4,17658662,68070,N00027848,248293,Hank_Johnson,J000288,0,0,0
8979,s3k15nh3,1,52,D,2,Sen,Ben Lujan,Ben,Ray,Lujan,,,SD-NM,9025644,102842,N00029562,266495,"Ben_Lujan,_Sr.",L000570,0,0,6103
8981,hdvrlylp,1,52,D,2,Sen,Edward Markey,Edward,J.,Markey,,,SD-MA,17658675,26900,N00000270,158881,Edward_Markey,M000133,0,0,0
8983,4guocnsd,1,52,D,1,Rep,Doris Matsui,Doris,O.,Matsui,,,HD-CA-7,17658638,28593,N00027459,232639,Doris_Matsui,M001163,0,0,0
8986,m2pvngcc,1,52,D,2,Sen,Christopher Murphy,Christopher,S.,Murphy,,,SD-CT,6384200,17189,N00027566,193324,Chris_Murphy_(Connecticut),M001169,0,0,0
8988,2vo8uaxr,1,52,D,1,Rep,Janice Schakowsky,Janice,D.,Schakowsky,,,HD-IL-9,6419995,6387,N00004724,158836,Jan_Schakowsky,S001145,0,0,0
8989,jzmzq7nk,1,52,D,1,Rep,Brad Sherman,Brad,,Sherman,,,HD-CA-32,369166,142,N00006897,158741,Brad_Sherman,S000344,0,0,0
8995,ugd19v5h,1,52,D,1,Rep,Debbie Wasserman Schultz,Debbie,,Wasserman Schultz,,,HD-FL-25,704716,24301,N00026106,226499,Debbie_Wasserman_Schultz,W000797,0,0,0
8997,ctbezjsi,1,52,D,2,Sen,Peter Welch,Peter,,Welch,,,SD-VT,9959484,51272,N00000515,210068,Peter_Welch,W000800,0,0,0
9004,mzzpsyfc,1,52,D,2,Sen,Tammy Baldwin,Tammy,,Baldwin,,,SD-WI,2924660,3470,N00004367,159127,Tammy_Baldwin,B001230,0,0,0
9019,lcudj1xk,1,52,D,1,Rep,Andre Carson,Andre,,Carson,,,HD-IN-7,17658782,84917,N00029513,263260,Andr%C3%A9_Carson,C001072,0,0,0
9021,qs5uninn,1,52,D,1,Rep,Yvette Clarke,Yvette,D.,Clarke,,,HD-NY-9,5418023,44741,N00026961,248335,Yvette_Clarke,C001067,0,0,0
