latitude,longitude,project,city,state,priinvest,pubinvest,totinvest,jobs,tech,company_name,category,public,private
-36.85,174.78,Advanced Industrial Facilities Deployment Program,,Alabama,0,75500000,75500000,0,Other,"United States Pipe and Foundry Company, LLC",All - Manufacturing,Yes,No
-33.86,151.03,Advanced Industrial Facilities Deployment Program,,Massachusetts,0,86907197,86907197,0,Other,"SUBLIME SYSTEMS, INC.",All - Manufacturing,Yes,No
-33.83,151.11,Hydroelectric Efficiency Improvement Incentives,,New York,0,57742,57742,0,Hydroelectric,Ampersand Chasm Falls Hydro LLC,All,Yes,No
-33.83,151.11,Hydroelectric Production Incentives,,New Hampshire,0,58482,58482,0,Hydroelectric,AMPERSAND BROOKLYN DAM HYDRO LLC,All,Yes,No
-31.99,115.95,Advanced Industrial Facilities Deployment Program,,Illinois,0,75000000,75000000,0,Other,"DIAGEO AMERICAS SUPPLY, INC.",All - Manufacturing,Yes,No
-31.99,115.95,IRA Section 50121 Home Energy Whole House Rebates,,Connecticut,0,1245764,1245764,0,Other,"ENERGY & ENVIRONMENTAL PROTECTION, CONNECTICUT DEPARTMENT OF",All,Yes,No
9.45,125.57,Energy Efficiency and Conservation Block Grant Program,,New Jersey,0,2414180,2414180,0,Other,NEW JERSEY DEPARTMENT OF TREASURY,All,Yes,No
10.26,125.18,Energy Efficiency and Conservation Block Grant Program,,Connecticut,0,76260,76260,0,Other,TOWN OF TRUMBULL,All,Yes,No
14.59,120.97,Energy Efficiency and Conservation Block Grant Program,,Massachusetts,0,116600,116600,0,Other,"CHICOPEE, CITY OF",All,Yes,No
14.59,120.97,Hydroelectric Efficiency Improvement Incentives,,Massachusetts,0,5000000,5000000,0,Hydroelectric,SPRINGFIELD WATER & SEWER,All,Yes,No
14.65,121.1,Advanced Energy Manufacturing and Recycling Grant,,Massachusetts,0,50000000,50000000,0,Other,BOSTON ELECTROMETALLURGICAL CORP,All - Manufacturing,Yes,No
14.65,121.04,Energy Efficiency and Conservation Block Grant Program,,Missouri,0,197920,197920,0,Other,"SPRINGFIELD, CITY OF",All,Yes,No
14.65,121.1,Grants for Updating Building Energy Codes,,Massachusetts,0,2000000,2000000,0,Other,"NORTHEAST ENERGY EFFICIENCY PARTNERSHIPS, INC.",All,Yes,No
15.42,120.93,Energy Efficiency and Conservation Block Grant Program,,New Hampshire,0,163660,163660,0,Other,CITY OF MANCHESTER,All,Yes,No
17.43,-95.03,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Northern Mariana Islands,0,556460,556460,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No
17.43,-95.03,IRA Section 50121 Home Energy Whole House Rebates,,Michigan,0,617094,617094,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No
17.43,-95.03,IRA Section 50122A High Efficiency Rebate Program States,,Northern Mariana Islands,0,605621,605621,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No
17.43,-95.03,IRA Section 50131b Building Energy Code,,Northern Mariana Islands,0,4080866,4080866,0,Other,OFFICE OF THE GOVERNOR,All,Yes,No
17.43,-95.03,IRA Section 50131c Zero Energy Code,,Northern Mariana Islands,0,4080866,4080866,0,Other,OFFICE OF THE GOVERNOR,All,Yes,No
17.43,-95.03,State Energy Program Grants,,Northern Mariana Islands,0,2515830,2515830,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No
17.43,-95.03,Weatherization Assistance Program,,Northern Mariana Islands,0,914518,914518,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No
17.71,-64.88,Energy Efficiency and Conservation Block Grant Program,,Virginia,0,1562180,1562180,0,Other,Office of the Governor,All,Yes,No
17.71,-64.88,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Virginia,0,576170,576170,0,Other,Office of the Governor,All,Yes,No
17.71,-64.88,IRA Section 50121 Home Energy Whole House Rebates,,Virginia,0,641525,641525,0,Other,Office of the Governor,All,Yes,No
17.71,-64.88,IRA Section 50122A High Efficiency Rebate Program States,,Virginia,0,637790,637790,0,Other,Office of the Governor,All,Yes,No
17.71,-64.88,Weatherization Assistance Program,,Virginia,0,1658204,1658204,0,Other,Office of the Governor,All,Yes,No
17.98,-94.54,Energy Efficiency and Conservation Block Grant Program,,Guam,0,1572930,1572930,0,Other,GUAM ENERGY OFFICE,All,Yes,No
17.98,-94.54,IRA Section 50121 Home Energy Whole House Rebates,,Guam,0,1176791,1176791,0,Other,GUAM ENERGY OFFICE,All,Yes,No
17.98,-94.54,IRA Section 50122A High Efficiency Rebate Program States,,Guam,0,1176791,1176791,0,Other,GUAM ENERGY OFFICE,All,Yes,No
17.98,-94.54,IRA Section 50131b Building Energy Code,,Guam,0,4152560,4152560,0,Other,GUAM ENERGY OFFICE,All,Yes,No
17.98,-94.54,IRA Section 50131c Zero Energy Code,,Guam,0,4152560,4152560,0,Other,GUAM ENERGY OFFICE,All,Yes,No
17.98,-94.54,State Energy Program Grants,,Guam,0,2600880,2600880,0,Other,GUAM ENERGY OFFICE,All,Yes,No
17.98,-94.54,Weatherization Assistance Program,,Guam,0,1303123,1303123,0,Other,GUAM ENERGY OFFICE,All,Yes,No
18.39,-67.2,Solx (Great Lakes Solex),Aguadilla,Puerto Rico,20000000,0,20000000,250,Solar,Solx (Great Lakes Solex),All - Manufacturing,No,Yes
18.46,-66.11,Energy Efficiency and Conservation Block Grant Program,,Puerto Rico,0,1855570,1855570,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No
18.46,-66.11,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Puerto Rico,0,1070490,1070490,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No
18.46,-66.11,IRA Section 50121 Home Energy Whole House Rebates,,Puerto Rico,0,1067475,1067475,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No
18.46,-66.11,IRA Section 50122A High Efficiency Rebate Program States,,Puerto Rico,0,1061277,1061277,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No
18.46,-66.11,State Energy Program Grants,,Puerto Rico,0,4670780,4670780,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No
18.46,-66.11,Weatherization Assistance Program,,Puerto Rico,0,37912811,37912811,0,Other,Departamento de Desarrollo Economico y Comercio,All,Yes,No
19.7,-155.08,Energy Efficiency and Conservation Block Grant Program,,Hawaii,0,228640,228640,0,Other,COUNTY OF HAWAII,All,Yes,No
21.3,-157.85,Preventing Outages & Enhancing Grid Resilience (IIJA Sec. 40101),,Hawaii,0,95313716,95313716,0,Grid,"HAWAIIAN ELECTRIC COMPANY, INC.",All,Yes,No
21.3,-157.85,Smart Grid Investment Matching Grants Program,,Hawaii,0,39858257,39858257,0,Grid,AMERESCO INC,All,Yes,No
21.3,-157.85,State Manufacturing Leadership,,Hawaii,0,1054012,1054012,0,Other,"BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM, HAWAII DEPARTMENT OF",All - Manufacturing,Yes,No
21.3,-157.85,Energy Efficiency and Conservation Block Grant Program,,Hawaii,0,1639120,1639120,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No
21.3,-157.85,Energy Efficiency and Conservation Block Grant Program,,Hawaii,0,844500,844500,0,Other,"Honolulu, City & County Of",All,Yes,No
21.3,-157.85,IRA Section 50121 Home Energy Whole House Rebates,,Hawaii,0,315512,315512,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No
21.3,-157.85,IRA Section 50122A High Efficiency Rebate Program States,,Hawaii,0,34093900,34093900,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No
21.3,-157.85,IRA Section 50131b Building Energy Code,,Hawaii,0,7324540,7324540,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No
21.3,-157.85,IRA Section 50131c Zero Energy Code,,Hawaii,0,7324540,7324540,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No
21.3,-157.85,State Energy Program Grants,,Hawaii,0,3512680,3512680,0,Other,"Business, Economic Development and Tourism, Hawai'i Department of",All,Yes,No
21.3,-157.85,Weatherization Assistance Program,,Hawaii,0,3641796,3641796,0,Other,"LABOR AND INDUSTRIAL RELATIONS, HAWAII DEPARTMENT OF",All,Yes,No
25.78,-80.21,Building Training and Assessment Centers,,Florida,0,900000,900000,0,Other,UNIVERSITY OF MIAMI,All,Yes,No
