row_id,GEOIDFQ,geocoded_state,geocoded_latitude,geocoded_longitude,join_type,original_latitude,original_longitude,project,city,state,priinvest,pubinvest,totinvest,jobs,tech,company_name,category,public,private,Representative,Party,District,Census Region
1,,,-36.85,174.78,not applicable,-36.85,174.78,Advanced Industrial Facilities Deployment Program,,Alabama,0,75500000,75500000,0,Other,"United States Pipe and Foundry Company, LLC",All - Manufacturing,Yes,No,Undetermined,Undetermined,,
2,,,-33.86,151.03,not applicable,-33.86,151.03,Advanced Industrial Facilities Deployment Program,,Massachusetts,0,86907197,86907197,0,Other,"SUBLIME SYSTEMS, INC.",All - Manufacturing,Yes,No,Undetermined,Undetermined,,
3,,,-33.83,151.11,not applicable,-33.83,151.11,Hydroelectric Efficiency Improvement Incentives,,New York,0,57742,57742,0,Hydroelectric,Ampersand Chasm Falls Hydro LLC,All,Yes,No,Undetermined,Undetermined,,
4,,,-33.83,151.11,not applicable,-33.83,151.11,Hydroelectric Production Incentives,,New Hampshire,0,58482,58482,0,Hydroelectric,AMPERSAND BROOKLYN DAM HYDRO LLC,All,Yes,No,Undetermined,Undetermined,,
5,,,-31.99,115.95,not applicable,-31.99,115.95,Advanced Industrial Facilities Deployment Program,,Illinois,0,75000000,75000000,0,Other,"DIAGEO AMERICAS SUPPLY, INC.",All - Manufacturing,Yes,No,Undetermined,Undetermined,,
6,,,-31.99,115.95,not applicable,-31.99,115.95,IRA Section 50121 Home Energy Whole House Rebates,,Connecticut,0,1245764,1245764,0,Other,"ENERGY & ENVIRONMENTAL PROTECTION, CONNECTICUT DEPARTMENT OF",All,Yes,No,Undetermined,Undetermined,,
7,,,9.45,125.57,not applicable,9.45,125.57,Energy Efficiency and Conservation Block Grant Program,,New Jersey,0,2414180,2414180,0,Other,NEW JERSEY DEPARTMENT OF TREASURY,All,Yes,No,Undetermined,Undetermined,,
8,,,10.26,125.18,not applicable,10.26,125.18,Energy Efficiency and Conservation Block Grant Program,,Connecticut,0,76260,76260,0,Other,TOWN OF TRUMBULL,All,Yes,No,Undetermined,Undetermined,,
9,,,14.59,120.97,not applicable,14.59,120.97,Energy Efficiency and Conservation Block Grant Program,,Massachusetts,0,116600,116600,0,Other,"CHICOPEE, CITY OF",All,Yes,No,Undetermined,Undetermined,,
10,,,14.59,120.97,not applicable,14.59,120.97,Hydroelectric Efficiency Improvement Incentives,,Massachusetts,0,5000000,5000000,0,Hydroelectric,SPRINGFIELD WATER & SEWER,All,Yes,No,Undetermined,Undetermined,,
11,,,14.65,121.1,not applicable,14.65,121.1,Advanced Energy Manufacturing and Recycling Grant,,Massachusetts,0,50000000,50000000,0,Other,BOSTON ELECTROMETALLURGICAL CORP,All - Manufacturing,Yes,No,Undetermined,Undetermined,,
12,,,14.65,121.04,not applicable,14.65,121.04,Energy Efficiency and Conservation Block Grant Program,,Missouri,0,197920,197920,0,Other,"SPRINGFIELD, CITY OF",All,Yes,No,Undetermined,Undetermined,,
13,,,14.65,121.1,not applicable,14.65,121.1,Grants for Updating Building Energy Codes,,Massachusetts,0,2000000,2000000,0,Other,"NORTHEAST ENERGY EFFICIENCY PARTNERSHIPS, INC.",All,Yes,No,Undetermined,Undetermined,,
14,,,15.42,120.93,not applicable,15.42,120.93,Energy Efficiency and Conservation Block Grant Program,,New Hampshire,0,163660,163660,0,Other,CITY OF MANCHESTER,All,Yes,No,Undetermined,Undetermined,,
15,,,17.43,-95.03,not applicable,17.43,-95.03,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Northern Mariana Islands,0,556460,556460,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No,Undetermined,Undetermined,,
16,,,17.43,-95.03,not applicable,17.43,-95.03,IRA Section 50121 Home Energy Whole House Rebates,,Michigan,0,617094,617094,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No,Undetermined,Undetermined,,
17,,,17.43,-95.03,not applicable,17.43,-95.03,IRA Section 50122A High Efficiency Rebate Program States,,Northern Mariana Islands,0,605621,605621,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No,Undetermined,Undetermined,,
18,,,17.43,-95.03,not applicable,17.43,-95.03,IRA Section 50131b Building Energy Code,,Northern Mariana Islands,0,4080866,4080866,0,Other,OFFICE OF THE GOVERNOR,All,Yes,No,Undetermined,Undetermined,,
19,,,17.43,-95.03,not applicable,17.43,-95.03,IRA Section 50131c Zero Energy Code,,Northern Mariana Islands,0,4080866,4080866,0,Other,OFFICE OF THE GOVERNOR,All,Yes,No,Undetermined,Undetermined,,
20,,,17.43,-95.03,not applicable,17.43,-95.03,State Energy Program Grants,,Northern Mariana Islands,0,2515830,2515830,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No,Undetermined,Undetermined,,
21,,,17.43,-95.03,not applicable,17.43,-95.03,Weatherization Assistance Program,,Northern Mariana Islands,0,914518,914518,0,Other,Commonwealth of the Northern Mariana Islands,All,Yes,No,Undetermined,Undetermined,,
22,5001900US7898,United States Virgin Islands,17.71,-64.88,geometry alone; state name conflicts,17.71,-64.88,Energy Efficiency and Conservation Block Grant Program,,Virginia,0,1562180,1562180,0,Other,Office of the Governor,All,Yes,No,Undetermined,Undetermined,,
23,5001900US7898,United States Virgin Islands,17.71,-64.88,geometry alone; state name conflicts,17.71,-64.88,Energy Efficiency Revolving Loan Fund Capitalization Grant Program,,Virginia,0,576170,576170,0,Other,Office of the Governor,All,Yes,No,Undetermined,Undetermined,,
24,5001900US7898,United States Virgin Islands,17.71,-64.88,geometry alone; state name conflicts,17.71,-64.88,IRA Section 50121 Home Energy Whole House Rebates,,Virginia,0,641525,641525,0,Other,Office of the Governor,All,Yes,No,Undetermined,Undetermined,,
25,5001900US7898,United States Virgin Islands,17.71,-64.88,geometry alone; state name conflicts,17.71,-64.88,IRA Section 50122A High Efficiency Rebate Program States,,Virginia,0,637790,637790,0,Other,Office of the Governor,All,Yes,No,Undetermined,Undetermined,,
26,5001900US7898,United States Virgin Islands,17.71,-64.88,geometry alone; state name conflicts,17.71,-64.88,Weatherization Assistance Program,,Virginia,0,1658204,1658204,0,Other,Office of the Governor,All,Yes,No,Undetermined,Undetermined,,
27,,,17.98,-94.54,not applicable,17.98,-94.54,Energy Efficiency and Conservation Block Grant Program,,Guam,0,1572930,1572930,0,Other,GUAM ENERGY OFFICE,All,Yes,No,Undetermined,Undetermined,,
28,,,17.98,-94.54,not applicable,17.98,-94.54,IRA Section 50121 Home Energy Whole House Rebates,,Guam,0,1176791,1176791,0,Other,GUAM ENERGY OFFICE,All,Yes,No,Undetermined,Undetermined,,
